CAM,52.03,+6.14
EFX,99.01,+5.12
EBAY,59.44,+4.74
ORLY,225.11,+3.90
SWK,100.47,+2.41
TXN,54.22,-7.68
PHM,20.60,-5.03
UNP,106.75,-3.59
FCX,19.84,-3.55
MMM,159.61,-3.07
